,1,2,3,4,5,6,7,8,9,10,11,12
A,G1;00,G1;10,G1;20,G1;40,G1;80,G1;160,G4;00,G4;10,G4;20,G4;40,G4;80,G4;160
B,G1;00,G1;10,G1;20,G1;40,G1;80,G1;160,G4;00,G4;10,G4;20,G4;40,G4;80,G4;160
C,G1;00,G1;10,G1;20,G1;40,G1;80,G1;160,G4;00,G4;10,G4;20,G4;40,G4;80,G4;160
D,G1;00,G1;10,G1;20,G1;40,G1;80,G1;160,G4;00,G4;10,G4;20,G4;40,G4;80,G4;160
E,G1;00,G1;10,G1;20,G1;40,G1;80,G1;160,G4;00,G4;10,G4;20,G4;40,G4;80,G4;160
F,G1;00,G1;10,G1;20,G1;40,G1;80,G1;160,G4;00,G4;10,G4;20,G4;40,G4;80,G4;160
G,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
H,,,,,,,,,,,,
